0,1.064,1.912,5.548,5.971,6.285,3.525,4.421,5.82,5.586,6.096,2.115,4.507,5.685,6.348,6.017,3.452,8.005,8.472,8.125,6.99,7.725,7.775,6.579,5.095,4.548,5.021,4.767,7.665,7.239,7.665,8.044,8.245,7.767,7.23,7.506
1.064,0,1.074,5.593,5.997,6.278,2.487,3.747,4.904,4.533,5.122,1.059,3.551,4.673,6.351,5.933,3.562,7.133,7.588,7.199,6.086,6.814,6.861,5.846,4.736,4.099,5.043,4.692,6.724,6.302,6.747,7.094,7.302,6.79,6.257,6.731
1.912,1.074,0,4.889,5.267,5.517,1.769,2.675,3.908,3.834,4.194,0.774,2.602,3.821,5.596,5.121,3.009,6.106,6.569,6.213,5.081,5.815,5.864,4.774,3.771,3.099,4.336,3.919,5.752,5.327,5.753,6.133,6.333,5.865,5.326,5.666
5.548,5.593,4.889,0,0.428,0.77,5.828,3.713,5.615,7.124,6.299,5.643,5.401,6.501,0.817,0.809,2.096,6.548,6.991,7.128,6.161,6.709,6.762,4.636,2.117,2.638,0.554,1.027,6.951,6.634,6.725,7.321,7.388,7.417,6.991,5.461
5.971,5.997,5.267,0.428,0,0.353,6.137,3.933,5.761,7.349,6.452,6.014,5.64,6.694,0.39,0.617,2.52,6.549,6.978,7.156,6.232,6.747,6.799,4.662,2.26,2.854,0.957,1.359,7.009,6.71,6.769,7.369,7.423,7.494,7.088,5.439
6.285,6.278,5.517,0.77,0.353,0,6.311,4.034,5.787,7.44,6.482,6.254,5.749,6.757,0.091,0.539,2.839,6.452,6.868,7.079,6.193,6.678,6.729,4.592,2.318,2.963,1.264,1.598,6.956,6.674,6.706,7.306,7.349,7.456,7.067,5.327
3.525,2.487,1.769,5.828,6.137,6.311,0,2.506,2.665,2.076,2.721,1.433,1.304,2.205,6.399,5.829,4.321,4.923,5.339,4.865,3.828,4.518,4.56,4.068,4.151,3.427,5.308,4.802,4.365,3.957,4.439,4.711,4.931,4.362,3.842,4.78
4.421,3.747,2.675,3.713,3.933,4.034,2.506,0,2.069,3.416,2.693,3.107,1.716,2.799,4.125,3.512,2.966,3.804,4.292,4.127,2.981,3.688,3.743,2.167,1.738,1.079,3.279,2.739,3.778,3.378,3.66,4.181,4.325,4.103,3.597,3.12
5.82,4.904,3.908,5.615,5.761,5.787,2.665,2.069,0,2.034,0.696,3.95,1.383,1.166,5.876,5.248,5.029,2.264,2.696,2.305,1.185,1.91,1.958,1.805,3.506,3.031,5.244,4.714,1.858,1.432,1.846,2.251,2.437,2.074,1.548,2.225
5.586,4.533,3.834,7.124,7.349,7.44,2.076,3.416,2.034,0,1.535,3.474,1.735,0.875,7.531,6.911,6.021,3.805,4.095,3.47,2.774,3.259,3.282,3.839,5.125,4.495,6.668,6.13,2.96,2.65,3.159,3.198,3.434,2.73,2.318,4.151
6.096,5.122,4.194,6.299,6.452,6.482,2.721,2.693,0.696,1.535,0,4.11,1.593,0.69,6.571,5.943,5.623,2.34,2.694,2.157,1.262,1.85,1.885,2.397,4.194,3.696,5.917,5.383,1.65,1.257,1.76,1.99,2.21,1.672,1.136,2.618
2.115,1.059,0.774,5.643,6.014,6.254,1.433,3.107,3.95,3.474,4.11,0,2.573,3.632,6.335,5.842,3.784,6.206,6.646,6.221,5.135,5.851,5.896,5.074,4.405,3.704,5.091,4.66,5.734,5.317,5.778,6.095,6.308,5.77,5.242,5.903
4.507,3.551,2.602,5.401,5.64,5.749,1.304,1.716,1.383,1.735,1.593,2.573,0,1.319,5.84,5.228,4.322,3.646,4.077,3.651,2.564,3.277,3.323,2.809,3.451,2.788,4.937,4.4,3.172,2.751,3.206,3.544,3.75,3.263,2.724,3.48
5.685,4.673,3.821,6.501,6.694,6.757,2.205,2.799,1.166,0.875,0.69,3.632,1.319,0,6.847,6.222,5.603,3.023,3.359,2.787,1.952,2.514,2.544,2.969,4.441,3.864,6.078,5.538,2.271,1.908,2.419,2.572,2.803,2.176,1.681,3.286
6.348,6.351,5.596,0.817,0.39,0.091,6.399,4.125,5.876,7.531,6.571,6.335,5.84,6.847,0,0.628,2.899,6.529,6.944,7.159,6.277,6.759,6.81,4.674,2.408,3.053,1.327,1.677,7.039,6.758,6.787,7.388,7.43,7.54,7.153,5.402
