0,0.68,1.225,1.396,3.127,2.752,1.742,1.336,2.018,2.413,2.601,2.439,1.408,2.727,2.428,1.691,2.519,1.854,2.351,0.944,0.637,1.188,0.957,2.092,1.418,1.753,2.036,2.092,2.683,3.251,2.268,1.578,1.672,0.998,1.871,1.13
0.68,0,0.81,1.406,2.794,2.377,1.574,1.13,1.674,2.373,1.949,2.318,0.73,3.11,2.898,2.058,2.721,2.405,2.29,0.476,0.657,1.344,0.816,2.342,1.929,2.4,2.416,2.342,2.93,3.408,2.565,0.915,2.247,1.414,1.235,1.301
1.225,0.81,0,0.877,1.985,1.575,0.839,0.444,0.863,1.675,1.563,1.569,0.806,2.794,2.716,1.813,2.218,2.392,1.58,0.335,0.673,1.007,0.439,1.921,1.906,2.597,2.147,1.921,2.461,2.827,2.178,1.189,2.292,1.366,1.543,0.998
1.396,1.406,0.877,0,1.899,1.622,0.479,0.456,0.977,1.018,2.312,1.055,1.671,1.927,1.901,1.008,1.354,1.709,0.955,1.04,0.808,0.321,0.594,1.045,1.269,2.083,1.31,1.045,1.59,2.008,1.304,2.044,1.668,0.842,2.402,0.367
3.127,2.794,1.985,1.899,0,0.445,1.436,1.793,1.124,1.321,2.054,1.054,2.507,3.097,3.352,2.657,2.228,3.44,1.269,2.32,2.492,2.218,2.17,2.323,3.086,3.927,2.792,2.323,2.466,2.309,2.535,2.845,3.461,2.736,3.105,2.266
2.752,2.377,1.575,1.622,0.445,0,1.143,1.436,0.734,1.294,1.663,1.008,2.064,3.069,3.258,2.487,2.221,3.26,1.213,1.908,2.125,1.943,1.804,2.228,2.866,3.697,2.673,2.228,2.477,2.441,2.466,2.4,3.255,2.463,2.662,1.984
1.742,1.574,0.839,0.479,1.436,1.143,0,0.445,0.525,0.837,1.997,0.744,1.623,2.213,2.274,1.419,1.496,2.161,0.741,1.123,1.108,0.799,0.803,1.31,1.739,2.56,1.673,1.31,1.757,2.027,1.575,2.01,2.134,1.32,2.355,0.842
1.336,1.13,0.444,0.456,1.793,1.436,0.445,0,0.71,1.257,1.868,1.188,1.25,2.383,2.348,1.447,1.777,2.101,1.169,0.686,0.699,0.668,0.379,1.496,1.633,2.399,1.761,1.496,2.023,2.385,1.757,1.632,2.032,1.131,1.986,0.68
2.018,1.674,0.863,0.977,1.124,0.734,0.525,0.71,0,1.127,1.546,0.91,1.482,2.71,2.796,1.944,1.944,2.68,1.023,1.198,1.392,1.283,1.071,1.813,2.246,3.053,2.195,1.813,2.209,2.376,2.074,1.855,2.644,1.792,2.167,1.315
2.413,2.373,1.675,1.018,1.321,1.294,0.837,1.257,1.127,0,2.666,0.286,2.457,1.787,2.032,1.408,0.928,2.182,0.104,1.944,1.821,1.254,1.564,1.01,1.899,2.731,1.487,1.01,1.183,1.249,1.214,2.845,2.237,1.693,3.186,1.314
2.601,1.949,1.563,2.312,2.054,1.663,1.997,1.868,1.546,2.666,0,2.424,1.246,4.205,4.213,3.315,3.481,3.947,2.563,1.702,2.2,2.529,2.002,3.301,3.465,4.153,3.62,3.301,3.745,3.913,3.567,1.33,3.854,2.928,1.392,2.532
2.439,2.318,1.569,1.055,1.054,1.008,0.744,1.188,0.91,0.286,2.424,0,2.319,2.069,2.298,1.622,1.213,2.405,0.215,1.865,1.82,1.336,1.534,1.269,2.086,2.926,1.738,1.269,1.468,1.495,1.486,2.705,2.443,1.817,3.036,1.393
1.408,0.73,0.806,1.671,2.507,2.064,1.623,1.25,1.482,2.457,1.246,2.319,0,3.559,3.429,2.54,3.021,3.015,2.359,0.682,1.179,1.746,1.134,2.708,2.526,3.088,2.889,2.708,3.261,3.631,2.959,0.388,2.88,1.983,0.737,1.722
2.727,3.11,2.794,1.927,3.097,3.069,2.213,2.383,2.71,1.787,4.205,2.069,3.559,0,0.521,1.054,0.87,1.164,1.858,2.885,2.458,1.814,2.425,0.904,1.37,1.787,0.697,0.904,0.658,1.209,0.639,3.908,1.361,1.735,4.266,1.842
2.428,2.898,2.716,1.901,3.352,3.258,2.274,2.348,2.796,2.032,4.213,2.298,3.429,0.521,0,0.904,1.204,0.687,2.084,2.747,2.272,1.709,2.307,1.033,1.013,1.28,0.602,1.033,1.069,1.696,0.822,3.752,0.897,1.485,4.103,1.721
1.691,2.058,1.813,1.008,2.657,2.487,1.419,1.447,1.944,1.408,3.315,1.622,2.54,1.054,0.904,0,0.955,0.784,1.422,1.859,1.409,0.806,1.41,0.521,0.535,1.33,0.358,0.521,1.042,1.687,0.601,2.876,0.83,0.693,3.23,0.821
2.519,2.721,2.218,1.354,2.228,2.221,1.496,1.777,1.944,0.928,3.481,1.213,3.021,0.87,1.204,0.955,0,1.565,1.008,2.392,2.074,1.383,1.936,0.445,1.48,2.196,0.804,0.445,0.266,0.743,0.428,3.397,1.692,1.565,3.755,1.432
1.854,2.405,2.392,1.709,3.44,3.26,2.161,2.101,2.68,2.182,3.947,2.405,3.015,1.164,0.687,0.784,1.565,0,2.202,2.347,1.837,1.434,1.956,1.214,0.491,0.646,0.762,1.214,1.534,2.209,1.138,3.301,0.212,1.038,3.637,1.422
2.351,2.29,1.58,0.955,1.269,1.213,0.741,1.169,1.023,0.104,2.563,0.215,2.359,1.858,2.084,1.422,1.008,2.202,0,1.855,1.75,1.208,1.485,1.054,1.9,2.736,1.526,1.054,1.267,1.353,1.271,2.746,2.247,1.665,3.087,1.267
0.944,0.476,0.335,1.04,2.32,1.908,1.123,0.686,1.198,1.944,1.702,1.865,0.682,2.885,2.747,1.859,2.392,2.347,1.855,0,0.517,1.071,0.463,2.052,1.856,2.469,2.21,2.052,2.62,3.042,2.296,1.024,2.221,1.31,1.382,1.044
0.637,0.657,0.673,0.808,2.492,2.125,1.108,0.699,1.392,1.821,2.2,1.82,1.179,2.458,2.272,1.409,2.074,1.837,1.75,0.517,0,0.692,0.322,1.686,1.348,1.957,1.767,1.686,2.276,2.775,1.907,1.481,1.706,0.805,1.83,0.646
1.188,1.344,1.007,0.321,2.218,1.943,0.799,0.668,1.283,1.254,2.529,1.336,1.746,1.814,1.709,0.806,1.383,1.434,1.208,1.071,0.692,0,0.611,0.999,0.973,1.77,1.146,0.999,1.586,2.091,1.231,2.095,1.373,0.521,2.453,0.06
0.957,0.816,0.439,0.594,2.17,1.804,0.803,0.379,1.071,1.564,2.002,1.534,1.134,2.425,2.307,1.41,1.936,1.956,1.485,0.463,0.322,0.611,0,1.589,1.468,2.163,1.756,1.589,2.16,2.601,1.832,1.487,1.854,0.927,1.846,0.589
2.092,2.342,1.921,1.045,2.323,2.228,1.31,1.496,1.813,1.01,3.301,1.269,2.708,0.904,1.033,0.521,0.445,1.214,1.054,2.052,1.686,0.999,1.589,0,1.055,1.817,0.479,0.0,0.594,1.187,0.266,3.073,1.31,1.123,3.432,1.041
1.418,1.929,1.906,1.269,3.086,2.866,1.739,1.633,2.246,1.899,3.465,2.086,2.526,1.37,1.013,0.535,1.48,0.491,1.9,1.856,1.348,0.973,1.468,1.055,0,0.842,0.744,1.055,1.534,2.199,1.091,2.817,0.4,0.547,3.157,0.953
1.753,2.4,2.597,2.083,3.927,3.697,2.56,2.399,3.053,2.731,4.153,2.926,3.088,1.787,1.28,1.33,2.196,0.646,2.736,2.469,1.957,1.77,2.163,1.817,0.842,0,1.393,1.817,2.179,2.854,1.772,3.315,0.507,1.269,3.621,1.739
